"accident","accident"
"acide","acid"
"activité","activity"
"activité minière","mining activity"
"agriculture","agriculture"
"aide","help"
"amélioration","improvement"
"ancien","former"
"appauvrissement","impoverishment"
"argent","money"
"arme","weapon"
"autonomie","autonomy"
"avancement","advancement"
"avantage","advantage"
"avantages fiscaux","tax benefits"
"avenir","future"
"badge","badge"
"bateau","boat"
"bien - mal","good - bad"
"bilan","balance sheet"
"biodiversité","biodiversity"
"bloc","block"
"blocage","blockage"
"boom","boom"
"bouleversement","upheaval"
"bruyant","noisy"
"bénéfice","profit"
"bénéfices","profits"
"caillou","pebble"
"camion","truck"
"carrière","quarry"
"casque","helmet"
"centrale","power station"
"centre minier","mining center"
"chaleur","heat"
"changement","change"
"chantier","construction site"
"charbon","coal"
"chaussure de sécurité","safety shoe"
"cheminée","chimney"
"ciel ouvert","open sky"
"civilisation","civilization"
"colas","colas"
"commerce","trade"
"commune minière","mining commune"
"compagnie","company "
"compliquer","complicate"
"condition de vie","condition of life"
"conflit","conflict"
"conseil tribal","tribal council"
"conséquence","consequence"
"contentieux","contentious"
"contracteur","contractor"
"convoieur","convoy"
"convoitise","lust"
"convoyeur","conveyor"
"corruption","corruption"
"cours","course"
"coutumier","customary"
"crayon","pencil"
"creuser","dig"
"danger","danger"
"dangereux","dangerous"
"destruction","destruction"
"diamant","diamond"
"difficile","difficult"
"dilemme","dilemma"
"diminution","decrease"
"diversité","diversity"
"division","division"
"doniambo","doniambo"
"déforestation","deforestation"
"défrichement","clearing"
"dégradation","degradation"
"dégât","damage"
"dégâts","damage"
"délicatesse","delicacy"
"démolition","demolition"
"dépendance","dependency"
"dépendant","dependent"
"dérangement","disturbance"
"détruire","destroy"
"développement","development"
"développement d’activités","development of activities"
"développement territorial","territorial development"
"développement économique","economic development"
"eau salubre","e clean"
"eboulement","collapse"
"echange","exchange"
"ecole","school"
"ecologie","ecology"
"economie","economy"
"effet de serre","greenhouse effect"
"eloignement","remoteness"
"empire","empire"
"emploi","employment"
"emploi non-qualifié","unskilled employment"
"emploi qualifié","skilled employment"
"employé","employee"
"endémique","endemic"
"enercal","enercal"
"energie","energy"
"enfant","child"
"engin","machine"
"engins miniers","mining devices"
"enjeu","stake"
"entente","agreement"
"entreprise","company"
"environnement","environment"
"epi","epi"
"epuisable","exhaustible"
"epuisement","exhaustion"
"equipe","team"
"eramet","eramet"
"erosion","erosion"
"esclave","slave"
"etroit","narrow"
"evolution","evolution"
"exaction","exaction"
"exonération","exemption"
"exploitation","exploitation"
"explosion","explosion"
"exportation","export"
"extinction","extinction"
"extraction","extraction"
"fabrication","manufacture"
"faillite","bankruptcy"
"famille","family"
"faune","fauna"
"fer","iron"
"fer ruboné","rubon iron"
"feraille","scrap "
"fermeture","closure"
"finance","finance"
"financement","financing"
"flexible","flexible"
"flore","flora"
"foncier","land"
"formation","formation"
"fossile","fossil"
"four","oven"
"france","france"
"fraude","fraud"
"frein","brake"
"ftn","ftn"
"fumée","smoke"
"garniérite","garnierite"
"gestion","management"
"gilet fluo","fluorescent vest"
"gimli","gimli"
"gisement","deposit"
"goro","goro"
"grand","large"
"grotte","cave"
"grève","strike"
"géologie","geology"
"géopolitique","geopolitics"
"histoire","history"
"horaire","schedule"
"hydrométallurgie","hydrometallurgy"
"hypocrisie","hypocrisy"
"impact","impact"
"important","important"
"importation","import"
"industrialisation","industrialization"
"industrie","industry"
"indépendance","independence"
"inondation","flood"
"inox","stainless steel"
"instable","unstable"
"institution","institution"
"interaction","interaction"
"international","international"
"intégration","integration"
"investigation","investigation"
"investissement","investment"
"inégalité","inequality"
"jules garnier","jules garnier"
"kns","kns"
"laboratoire","laboratory"
"latérite","laterite "
"liens","links"
"lobby","lobby"
"long","long"
"long-terme","long-term"
"machine","machine"
"main d’oeuvre","labor"
"mal payé","badly paid"
"maladie","disease"
"malédiction","curse"
"manipulations","manipulations"
"maquis","maquis"
"maquis minier","mining maquis"
"marchandise","commodity"
"matière première","raw material"
"matériau","material"
"mauvais","bad"
"mer","sea"
"milieu dur","hard environment"
"milieux","circles"
"militaire","military"
"mine","mine "
"mine d’or","gold mine"
"minecraft","minecraft"
"minerai","ore"
"minerais","ores"
"mineur","miner"
"minéralier","ore carrier"
"mondial","global"
"mondialisation","globalization"
"monnaie","currency"
"monopôle","monopole"
"montagne","mountain"
"multinationale","multinational"
"métallurgie","metallurgy"
"métaux","metals"
"métaux rares","rare metals"
"métiers","trades"
"nature","nature"
"nickel","nickel"
"noir","black"
"non renouvelable","nonrenewable"
"nord","north"
"nouvelle-calédonie","new- caledonia"
"nécessité","necessity"
"négociation","negotiation"
"obscure","obscure"
"opportunité","opportunity"
"or","gold"
"organisation","organization"
"outil","tool"
"ouvrier","worker"
"partout","everywhere"
"patrimoine","heritage"
"pays","country"
"pays exploités","exploited countries"
"paysage","landscape"
"pelle","shovel"
"perle","pearl"
"peuple","people"
"pib","gdp"
"pierre","stone"
"pioche","pickaxe"
"plainte","complaint"
"poisson","fish"
"politique","policy"
"polluant","pollutant"
"pollution","pollution "
"polyvalent","multipurpose"
"port","port"
"porte d’entrée","front door"
"positif/négatif","positive / negative"
"poussière","dust"
"poussières","dust"
"pouvoir","power"
"prix à payer","price to pay"
"problèmes","problems"
"procédés","processes"
"production","production"
"produit","product"
"produit chimique","chemical"
"profite","profit"
"profondeur","depth"
"projet","project"
"projets","projects"
"prony ressources","prony resources"
"propriété","property"
"prospection","prospecting"
"protection","protection"
"province nord","northern province"
"précieux","precious"
"puissance","power"
"père","father"
"pétrole","petroleum"
"rachat","redemption"
"raréfaction","raréfa ction"
"reboisement","reforestation"
"recherche","research"
"reconnaissance","recognition"
"rejets","releases"
"ressouce","resource"
"ressource","resource"
"ressource fossile","fossil resource"
"ressource épuisable","exhaustible resource"
"retombées","fallout"
"revendication","claim"
"revenu","income"
"revenus","income"
"revégétalisation","revegetation"
"richesse","wealth"
"risque","risk"
"risques","risks"
"roche","rock"
"roue","wheel"
"rouge","red"
"roulement","bearing"
"réparation","repair"
"répartition","distribution"
"sale","dirty"
"saleté","dirt"
"santé","health"
"scorie","slag"
"serpentine","serpentine"
"sidérurgie","steel industry"
"sln","sln"
"smsp","smsp"
"sous-traitant","subcontractor"
"souterrain","underground"
"sponsor","sponsor"
"stratégique","strategic"
"sud","south"
"symbole","symbol"
"sécurité","safety"
"tapis roulant","conveyor belt"
"teneur","grade"
"tension","tension"
"terre","earth"
"terre rouge","red earth"
"territoire","territory"
"tertitaire","tertiary"
"tourisme","tourism"
"tractopelle","backhoe loader"
"tradition","tradition"
"train","train"
"traitement","processing"
"transformation","transformation"
"transport","transport"
"travail","work"
"travailleur","worker"
"tribu","tribe"
"tristesse","sadness"
"trésor","treasure"
"tunnel","tunnel"
"usine","factory"
"usine de doniambo","doniambo factory"
"usine de goro","goro factory"
"usine du sud","south factory"
"usine nord","north factory"
"vale","vale"
"vendre","sell"
"vente","sale"
"vert","green"
"village","village"
"vital","vital "
"vkp","vkp"
"vol","flight"
"wagonnet","wagon"
"yaté","yate"
